TotalEpisodes,TotalSteps,AverageStepsPerEpisode,AverageRewardPerEpisode,HighestReward, ConvergenceQValue
1,153,153,-101,-101,0.6779349
2,270,135,-75,-49,0.6768069
3,399,133,-91.66666,-49,0.6644272
4,571,142.75,-83.75,-49,0.6116892
5,700,140,-63.2,19,0.5524384
6,833,138.8333,-50.16667,19,0.5132131
7,930,132.8571,-35.71429,51,0.493705
8,1056,132,-32,51,0.4882103
9,1191,132.3333,-34.11111,51,0.4909783
10,1347,134.7,-28.7,51,0.4792029
11,1509,137.1818,-12.45455,150,0.4697756
12,1660,138.3333,-7,150,0.4777845
13,1824,140.3077,-12.92308,150,0.4981988
1,144,144,-40,-40,0.5590787
2,305,152.5,-22.5,-5,0.5425049
3,402,134,-30,-5,0.4935486
4,489,122.25,-1.25,85,0.4765218
5,576,115.2,-3.3,85,0.4563373
6,719,119.8333,0.75,85,0.4311114
7,856,122.2857,-9.214286,85,0.4534618
8,997,124.625,-0.1875,85,0.4573596
9,1156,128.4444,3.944444,85,0.4625122
10,1318,131.8,-2.25,85,0.461343
1,127,127,-67,-67,0.4165474
2,263,131.5,-85.5,-67,0.537182
3,422,140.6667,-42,45,0.4665006
4,534,133.5,-37.5,45,0.5060076
5,647,129.4,-27.8,45,0.4706858
6,760,126.6667,-17.33333,45,0.4758076
7,888,126.8571,-25.14286,45,0.4691611
8,1062,132.75,-24.75,45,0.4947387
9,1260,140,-27.11111,45,0.5000628
