TotalEpisodes,TotalSteps,AverageStepsPerEpisode,AverageRewardPerEpisode,HighestReward, ConvergenceQValue
1,143,143,-91,-91,0.797385
2,278,139,-71,-51,0.5285258
3,415,138.3333,-70.33334,-51,0.5488411
4,600,150,-58,-21,0.5821568
5,833,166.6,-79.4,-21,0.6069178
6,1021,170.1667,-82.83334,-21,0.5980764
7,1225,175,-65.85714,36,0.5401161
8,1440,180,-64,36,0.5433556
9,1669,185.4444,-58.77778,36,0.5554136
1,137,137,-13,-13,0.5532777
2,245,122.5,-0.5,12,0.4782303
3,343,114.3333,-6.333333,12,0.4693882
4,432,108,-26,12,0.4507549
5,582,116.4,-18.8,12,0.4687805
6,743,123.8333,-1.833333,83,0.4469742
7,870,124.2857,-4.285714,83,0.4438156
8,997,124.625,-11.125,83,0.449159
9,1113,123.6667,-12.11111,83,0.4532954
10,1241,124.1,-18.9,83,0.4664758
11,1378,125.2727,-14.72727,83,0.4632272
1,112,112,-88,-88,0.6200988
2,234,117,-45,-2,0.5445241
3,354,118,-27.33333,8,0.4738955
4,480,120,-44,8,0.4909025
5,651,130.2,-46.2,8,0.4976876
6,826,137.6667,-43,8,0.5047227
7,1027,146.7143,-36.42857,8,0.5071334
8,1232,154,-42,8,0.532271
9,1382,153.5556,-43.33333,8,0.5226665
