TotalEpisodes,TotalSteps,AverageStepsPerEpisode,AverageRewardPerEpisode,HighestReward, ConvergenceQValue, ExplorationRate
1,101,101,-73,-73,2.843925,0.3623723
2,204,102,-34,5,2.261865,0.1287006
3,307,102.3333,-31.66667,5,2.701394,0.1
4,410,102.5,-18.5,21,2.565747,0.1
5,512,102.4,1.6,82,2.315245,0.1
6,615,102.5,-11.16667,82,2.542863,0.1
7,718,102.5714,-14.57143,82,2.760491,0.1
8,820,102.5,-1.5,90,2.649938,0.1
9,923,102.5556,-9.666667,90,2.719477,0.1
10,1026,102.6,-3.4,90,2.628762,0.1
11,1128,102.5455,-4.363636,90,2.637852,0.1
12,1230,102.5,-4.5,90,2.646744,0.1
13,1333,102.5385,-5.615385,90,2.674267,0.1
14,1436,102.5714,-4.857143,90,2.731532,0.1
15,1539,102.6,-1.533333,90,2.663161,0.1
16,1641,102.5625,4.1875,90,2.619363,0.1
17,1744,102.5882,10.35294,109,2.572496,0.1
18,1844,102.4444,16.22222,116,2.483551,0.1
19,1947,102.4737,19,116,2.404166,0.1
20,2050,102.5,16.3,116,2.420142,0.1
21,2149,102.3333,17.85714,116,2.406977,0.1
22,2247,102.1364,14.04545,116,2.466698,0.1
23,2349,102.1304,14.91304,116,2.447855,0.1
24,2449,102.0417,15.45833,116,2.45539,0.1
25,2550,102,15.12,116,2.501537,0.1
26,2653,102.0385,13.5,116,2.521873,0.1
27,2755,102.037,10.40741,116,2.567528,0.1
28,2858,102.0714,10.5,116,2.567578,0.1
29,2959,102.0345,9.275862,116,2.579635,0.1
30,3060,102,8.4,116,2.572058,0.1
31,3160,101.9355,7.225806,116,2.587336,0.1
32,3261,101.9063,6.21875,116,2.589024,0.1
33,3362,101.8788,3.818182,116,2.61358,0.1
34,3461,101.7941,1.852941,116,2.623503,0.1
35,3560,101.7143,0.6857143,116,2.617481,0.1
36,3657,101.5833,-1.694444,116,2.651981,0.1
37,3746,101.2432,-3.081081,116,2.652043,0.1
38,3841,101.0789,-3.289474,116,2.663785,0.1
39,3936,100.9231,-4.102564,116,2.683183,0.1
40,4030,100.75,-6.35,116,2.708759,0.1
41,4118,100.439,-7.170732,116,2.723093,0.1
42,4203,100.0714,-7.214286,116,2.7291,0.1
43,4294,99.86047,-7.953488,116,2.713979,0.1
44,4383,99.61364,-10.43182,116,2.745968,0.1
45,4472,99.37778,-10.84444,116,2.734137,0.1
46,4558,99.08696,-12.13043,116,2.757656,0.1
47,4645,98.82979,-12.78723,116,2.743021,0.1
48,4730,98.54166,-13.20833,116,2.75875,0.1
49,4816,98.28571,-13.22449,116,2.75253,0.1
50,4901,98.02,-12.66,116,2.753412,0.1
51,4985,97.74509,-14.05882,116,2.752921,0.1
52,5067,97.44231,-14.28846,116,2.754897,0.1
53,5149,97.15094,-14.50943,116,2.753304,0.1
54,5230,96.85185,-15.37037,116,2.771585,0.1
55,5312,96.58182,-14.98182,116,2.773482,0.1
56,5388,96.21429,-15.78571,116,2.787627,0.1
57,5469,95.94736,-16.15789,116,2.789553,0.1
58,5547,95.63793,-17.08621,116,2.799881,0.1
59,5625,95.33898,-17.16949,116,2.802612,0.1
60,5705,95.08334,-17.55,116,2.816894,0.1
61,5783,94.80328,-18.27869,116,2.817156,0.1
62,5862,94.54839,-18.67742,116,2.81756,0.1
63,5942,94.31746,-19.14286,116,2.831385,0.1
64,6015,93.98438,-19.04688,116,2.809615,0.1
65,6090,93.69231,-19.84615,116,2.815594,0.1
66,6171,93.5,-20.22727,116,2.835094,0.1
67,6255,93.35821,-20.10448,116,2.820856,0.1
68,6338,93.20588,-19.79412,116,2.823141,0.1
69,6420,93.04348,-20,116,2.827607,0.1
70,6497,92.81429,-20.41429,116,2.841831,0.1
71,6578,92.64789,-21.09859,116,2.86196,0.1
72,6660,92.5,-20.94444,116,2.854384,0.1
73,6740,92.32877,-21.20548,116,2.851233,0.1
74,6821,92.17567,-21.2027,116,2.843236,0.1
75,6892,91.89333,-21.28,116,2.859517,0.1
76,6968,91.68421,-21.26316,116,2.860585,0.1
77,7045,91.49351,-21.20779,116,2.871362,0.1
78,7120,91.28205,-21.23077,116,2.866706,0.1
79,7199,91.12658,-21.50633,116,2.874065,0.1
80,7275,90.9375,-21.5875,116,2.883894,0.1
81,7351,90.75309,-21.8642,116,2.870844,0.1
82,7426,90.56097,-21.87805,116,2.86012,0.1
83,7488,90.21687,-21.59036,116,2.857302,0.1
84,7562,90.02381,-21.64286,116,2.852012,0.1
85,7637,89.84706,-21.75294,116,2.854911,0.1
86,7709,89.63953,-21.77907,116,2.845694,0.1
87,7778,89.4023,-21.90805,116,2.851765,0.1
88,7850,89.20454,-21.84091,116,2.842843,0.1
89,7922,89.01124,-22.04494,116,2.840012,0.1
90,7992,88.8,-22.04445,116,2.825516,0.1
91,8062,88.59341,-21.69231,116,2.81677,0.1
92,8121,88.27174,-21.18478,116,2.809036,0.1
93,8187,88.03226,-20.63441,116,2.79367,0.1
94,8255,87.81915,-20.96808,116,2.804246,0.1
95,8323,87.61053,-21.12632,116,2.802353,0.1
96,8391,87.40625,-21.19792,116,2.797849,0.1
97,8459,87.20618,-20.93814,116,2.803988,0.1
98,8526,87,-21.04082,116,2.7965,0.1
99,8592,86.78788,-21.57576,116,2.80742,0.1
100,8655,86.55,-21.63,116,2.794621,0.1
101,8721,86.34653,-21.51485,116,2.767792,0.1
102,8787,86.14706,-21.2451,116,2.763574,0.1
103,8852,85.94175,-21.08738,116,2.761106,0.1
104,8916,85.73077,-20.88461,116,2.753361,0.1
105,8980,85.52381,-20.38095,116,2.741354,0.1
106,9045,85.33018,-20.31132,116,2.736893,0.1
107,9107,85.11215,-20.40187,116,2.743614,0.1
108,9170,84.90741,-19.94444,116,2.730932,0.1
109,9219,84.57798,-20.02752,116,2.728371,0.1
110,9278,84.34545,-20.2,116,2.732733,0.1
111,9342,84.16216,-19.87387,116,2.720553,0.1
112,9407,83.99107,-19.88393,116,2.718107,0.1
113,9470,83.80531,-19.52212,116,2.704114,0.1
114,9533,83.62281,-19.65789,116,2.720241,0.1
115,9598,83.46087,-20.15652,116,2.736793,0.1
116,9660,83.27586,-20.24138,116,2.735308,0.1
117,9723,83.10256,-20.16239,116,2.732834,0.1
118,9784,82.91525,-20.0678,116,2.734718,0.1
119,9845,82.73109,-20.04202,116,2.73209,0.1
120,9906,82.55,-19.95,116,2.72131,0.1
121,9966,82.36364,-20.08265,116,2.731189,0.1
122,10026,82.18033,-20.14754,116,2.725716,0.1
123,10084,81.98374,-20.13008,116,2.719583,0.1
124,10139,81.76613,-19.92742,116,2.71153,0.1
125,10198,81.584,-20.144,116,2.708421,0.1
126,10242,81.28571,-20.14286,116,2.711934,0.1
127,10299,81.09449,-20.33858,116,2.70897,0.1
128,10357,80.91406,-20.13281,116,2.699412,0.1
129,10414,80.72868,-20.0155,116,2.698694,0.1
130,10468,80.52308,-20.15385,116,2.702448,0.1
131,10524,80.33588,-20,116,2.698399,0.1
132,10575,80.11364,-19.84091,116,2.688574,0.1
133,10612,79.78947,-19.6391,116,2.681302,0.1
134,10663,79.57462,-19.54478,116,2.674399,0.1
135,10708,79.31852,-19.7037,116,2.680456,0.1
136,10752,79.05882,-19.52941,116,2.669807,0.1
137,10811,78.91241,-19.32117,116,2.662833,0.1
138,10871,78.77536,-19.55797,116,2.668554,0.1
139,10930,78.63309,-19.64029,116,2.666818,0.1
140,10988,78.48572,-19.91429,116,2.672999,0.1
141,11043,78.31915,-19.51064,116,2.669242,0.1
142,11100,78.16901,-19.46479,116,2.666938,0.1
143,11147,77.95105,-19.46154,116,2.665794,0.1
144,11203,77.79861,-19.27083,116,2.660849,0.1
145,11257,77.63448,-19.28966,116,2.662524,0.1
146,11304,77.42466,-19.45205,116,2.665066,0.1
147,11354,77.2381,-19.22449,116,2.657171,0.1
148,11400,77.02702,-19.13514,116,2.65511,0.1
149,11450,76.84563,-18.69799,116,2.645289,0.1
150,11499,76.66,-18.39333,116,2.642927,0.1
151,11547,76.4702,-18.48344,116,2.644699,0.1
152,11595,76.2829,-18.25658,116,2.636821,0.1
153,11643,76.09804,-18.08497,116,2.633762,0.1
154,11691,75.91558,-17.91558,116,2.630208,0.1
155,11741,75.74839,-17.65806,116,2.618989,0.1
156,11791,75.58334,-17.45513,116,2.623282,0.1
157,11840,75.41401,-17.27389,116,2.617776,0.1
158,11890,75.25317,-17.12658,116,2.615613,0.1
159,11938,75.08176,-16.7673,116,2.607801,0.1
160,11983,74.89375,-16.81875,116,2.610558,0.1
161,12032,74.73292,-16.4472,116,2.609407,0.1
162,12080,74.5679,-16.2963,116,2.612607,0.1
163,12128,74.40491,-16.04908,116,2.606924,0.1
164,12176,74.2439,-15.85366,116,2.604117,0.1
165,12224,74.08485,-15.56364,116,2.602421,0.1
166,12271,73.92168,-15.34337,116,2.595647,0.1
167,12321,73.77844,-15.11976,116,2.598219,0.1
168,12371,73.6369,-14.99405,116,2.59479,0.1
169,12412,73.44379,-14.88757,116,2.594854,0.1
170,12459,73.28824,-14.91177,116,2.593248,0.1
171,12508,73.1462,-14.5731,116,2.595313,0.1
172,12553,72.98256,-14.5407,116,2.599484,0.1
173,12602,72.84393,-14.43931,116,2.599266,0.1
174,12651,72.70689,-14.15517,116,2.591466,0.1
175,12700,72.57143,-13.92,116,2.594481,0.1
176,12743,72.40341,-13.74432,116,2.588293,0.1
177,12785,72.23164,-13.54237,116,2.584732,0.1
178,12830,72.07865,-13.51685,116,2.584989,0.1
179,12878,71.94414,-13.39665,116,2.584603,0.1
180,12925,71.80556,-12.98333,116,2.587373,0.1
181,12971,71.66299,-13.03315,116,2.591448,0.1
182,13019,71.53297,-13.18132,116,2.59104,0.1
183,13066,71.39891,-12.99454,116,2.585185,0.1
184,13112,71.26087,-13,116,2.588092,0.1
185,13158,71.12432,-12.87568,116,2.584721,0.1
186,13204,70.98925,-12.7957,116,2.584947,0.1
187,13250,70.85561,-12.71658,116,2.582737,0.1
188,13296,70.7234,-12.46809,116,2.575843,0.1
189,13341,70.5873,-12.44974,116,2.578767,0.1
190,13386,70.45263,-12.38947,116,2.57812,0.1
191,13430,70.31413,-12.4712,116,2.582695,0.1
192,13475,70.18229,-12.49479,116,2.580806,0.1
193,13515,70.02591,-12.3886,116,2.575095,0.1
194,13557,69.88145,-12.45876,116,2.574448,0.1
195,13603,69.75897,-12.30256,116,2.570472,0.1
196,13647,69.62755,-12.05612,116,2.560601,0.1
197,13692,69.50254,-12.08122,116,2.562574,0.1
198,13737,69.37878,-11.94444,116,2.554314,0.1
199,13780,69.24623,-11.75879,116,2.545214,0.1
200,13824,69.12,-11.52,116,2.538674,0.1
201,13865,68.9801,-11.36816,116,2.527543,0.1
202,13908,68.85149,-11.38614,116,2.534068,0.1
203,13950,68.71922,-11.14286,116,2.52681,0.1
204,13994,68.59804,-10.7549,116,2.527341,0.1
205,14036,68.46829,-10.67317,116,2.523854,0.1
206,14080,68.34952,-10.79612,116,2.525643,0.1
207,14122,68.22222,-10.94686,116,2.528854,0.1
208,14166,68.10577,-10.91346,116,2.527447,0.1
209,14210,67.99043,-11.07177,116,2.528794,0.1
210,14247,67.84286,-11.02381,116,2.527348,0.1
211,14290,67.72512,-11.00474,116,2.524338,0.1
212,14334,67.6132,-11.08491,116,2.521698,0.1
213,14378,67.50235,-11.23944,116,2.525126,0.1
214,14420,67.38318,-11.08411,116,2.527261,0.1
215,14465,67.27907,-10.96279,116,2.522485,0.1
216,14509,67.1713,-10.81944,116,2.517573,0.1
217,14551,67.0553,-10.7788,116,2.512456,0.1
218,14595,66.94954,-10.63761,116,2.508963,0.1
219,14638,66.84018,-10.51142,116,2.509841,0.1
220,14681,66.73182,-10.49545,116,2.51205,0.1
221,14724,66.62444,-10.33484,116,2.508496,0.1
222,14764,66.5045,-10.36036,116,2.503315,0.1
223,14807,66.3991,-10.30942,116,2.506037,0.1
224,14849,66.29018,-10.20089,116,2.502909,0.1
225,14890,66.17778,-10.14222,116,2.503561,0.1
