TotalEpisodes,TotalSteps,AverageStepsPerEpisode,AverageRewardPerEpisode,HighestReward, ConvergenceQValue, ExplorationRate
1,194,194,175,175,0.7063032,0.1423077
2,350,175,157.5,175,0.5917717,0.1
3,505,168.3333,126.6667,175,0.5870163,0.1
4,660,165,115.25,175,0.6033973,0.1
5,816,163.2,121.8,175,0.58613,0.1
6,971,161.8333,92.33334,175,0.5900698,0.1
7,1127,161,102.5714,175,0.5600722,0.1
8,1282,160.25,96.875,175,0.554562,0.1
9,1437,159.6667,96.88889,175,0.5531746,0.1
10,1592,159.2,89.7,175,0.5694923,0.1
11,1744,158.5455,73.54546,175,0.5815387,0.1
12,1900,158.3333,77.75,175,0.5893082,0.1
13,2054,158,81.46154,175,0.5657532,0.1
14,2210,157.8571,75.35714,175,0.5735472,0.1
15,2365,157.6667,77.86667,175,0.5713614,0.1
16,2518,157.375,75.6875,175,0.5733278,0.1
17,2672,157.1765,66.88235,175,0.5790637,0.1
18,2827,157.0556,65.88889,175,0.568635,0.1
19,2977,156.6842,59.57895,175,0.5606655,0.1
20,3084,154.2,53.85,175,0.5576277,0.1
21,3185,151.6667,50.47619,175,0.5535852,0.1
22,3284,149.2727,46.40909,175,0.555017,0.1
23,3377,146.8261,42.26087,175,0.5531557,0.1
24,3471,144.625,37.91667,175,0.545731,0.1
25,3566,142.64,35,175,0.5438871,0.1
26,3668,141.0769,32.19231,175,0.5417477,0.1
27,3769,139.5926,28.88889,175,0.5383795,0.1
28,3858,137.7857,25.96428,175,0.5337446,0.1
29,3958,136.4828,23.27586,175,0.530966,0.1
30,4054,135.1333,20.9,175,0.528914,0.1
31,4151,133.9032,16.96774,175,0.5306194,0.1
32,4245,132.6563,14.5,175,0.5278561,0.1
33,4338,131.4545,12.81818,175,0.5249829,0.1
34,4432,130.3529,11.79412,175,0.5185987,0.1
35,4526,129.3143,10.37143,175,0.5114536,0.1
36,4616,128.2222,8.694445,175,0.5115324,0.1
37,4705,127.1622,7.891892,175,0.5072905,0.1
38,4794,126.1579,6.710526,175,0.5038936,0.1
39,4882,125.1795,5.923077,175,0.4954983,0.1
40,4965,124.125,5,175,0.4905856,0.1
41,5048,123.1219,4.902439,175,0.4876203,0.1
42,5133,122.2143,2.666667,175,0.4913988,0.1
43,5219,121.3721,1.348837,175,0.4870174,0.1
44,5295,120.3409,1.045455,175,0.4840049,0.1
45,5379,119.5333,0.5777778,175,0.4810403,0.1
46,5460,118.6957,0.9782609,175,0.4763712,0.1
47,5542,117.9149,0.4042553,175,0.4751244,0.1
48,5624,117.1667,-0.4791667,175,0.4706539,0.1
49,5706,116.449,-1.163265,175,0.4682787,0.1
50,5786,115.72,-1.62,175,0.4684241,0.1
51,5868,115.0588,-1.627451,175,0.4661901,0.1
52,5948,114.3846,-1.75,175,0.4645426,0.1
53,6025,113.6792,-1.886792,175,0.4654708,0.1
54,6103,113.0185,-2.555556,175,0.4630368,0.1
55,6181,112.3818,-3.2,175,0.4633146,0.1
56,6259,111.7679,-4.392857,175,0.4618463,0.1
57,6330,111.0526,-4.929824,175,0.4607296,0.1
58,6407,110.4655,-5,175,0.459416,0.1
59,6487,109.9492,-5.457627,175,0.4592614,0.1
60,6565,109.4167,-6,175,0.4581858,0.1
61,6644,108.918,-6.344262,175,0.4558224,0.1
62,6722,108.4194,-6.725806,175,0.4544032,0.1
63,6802,107.9683,-7.634921,175,0.4544873,0.1
64,6881,107.5156,-8.3125,175,0.4562816,0.1
65,6957,107.0308,-9.353847,175,0.4564928,0.1
66,7041,106.6818,-9.757576,175,0.4534471,0.1
67,7123,106.3134,-10.35821,175,0.4507148,0.1
68,7205,105.9559,-10.70588,175,0.450131,0.1
69,7287,105.6087,-10.81159,175,0.4484936,0.1
70,7368,105.2571,-11.52857,175,0.4488978,0.1
71,7448,104.9014,-11.47887,175,0.4481636,0.1
72,7530,104.5833,-11.56944,175,0.4466292,0.1
73,7608,104.2192,-11.49315,175,0.4462883,0.1
74,7647,103.3378,-11.7027,175,0.4433737,0.1
75,7710,102.8,-11.58667,175,0.4413809,0.1
76,7783,102.4079,-11.81579,175,0.4403802,0.1
77,7856,102.026,-11.72727,175,0.4400113,0.1
78,7924,101.5897,-11.73077,175,0.4388893,0.1
79,7990,101.1392,-12.11392,175,0.4394027,0.1
80,8065,100.8125,-11.95,175,0.4386867,0.1
81,8140,100.4938,-12.18519,175,0.43898,0.1
82,8215,100.1829,-12.02439,175,0.435447,0.1
83,8289,99.86747,-12.19277,175,0.4350871,0.1
84,8358,99.5,-12.91667,175,0.4355879,0.1
85,8430,99.17647,-12.76471,175,0.4344909,0.1
86,8502,98.86047,-12.7093,175,0.4341059,0.1
87,8561,98.4023,-12.73563,175,0.4323335,0.1
88,8631,98.07954,-13.38636,175,0.433971,0.1
89,8697,97.7191,-13.79775,175,0.4326221,0.1
90,8769,97.43333,-13.64444,175,0.4302648,0.1
91,8831,97.04395,-13.12088,175,0.4296667,0.1
92,8890,96.63043,-13.57609,175,0.4282228,0.1
93,8957,96.31183,-13.5914,175,0.4251762,0.1
94,9022,95.97872,-13.75532,175,0.425431,0.1
95,9090,95.68421,-13.90526,175,0.4249585,0.1
96,9158,95.39584,-14.21875,175,0.4247614,0.1
97,9220,95.05154,-14.46392,175,0.4253924,0.1
98,9288,94.77551,-14.60204,175,0.4253281,0.1
99,9353,94.47475,-14.42424,175,0.4243663,0.1
100,9419,94.19,-14.14,175,0.4227935,0.1
101,9485,93.91089,-14.41584,175,0.4232383,0.1
102,9550,93.62745,-14.48039,175,0.4235581,0.1
103,9616,93.35922,-14.82524,175,0.4224779,0.1
104,9681,93.08654,-14.65385,175,0.421676,0.1
105,9747,92.82858,-14.8381,175,0.4192162,0.1
106,9804,92.49056,-14.82076,175,0.4183699,0.1
107,9869,92.23364,-15.1028,175,0.4178003,0.1
108,9924,91.88889,-15.21296,175,0.4159032,0.1
109,9976,91.52293,-15.18349,175,0.4150621,0.1
110,10036,91.23637,-15.15455,175,0.4137072,0.1
111,10100,90.99099,-14.87387,175,0.4131092,0.1
112,10165,90.75893,-15.14286,175,0.4137116,0.1
113,10232,90.54868,-14.85841,175,0.4128284,0.1
114,10297,90.32456,-14.5614,175,0.4117818,0.1
115,10360,90.08696,-14.6,175,0.4117339,0.1
116,10426,89.87931,-14.62931,175,0.4110755,0.1
117,10487,89.63248,-14.51282,175,0.4109959,0.1
118,10549,89.39831,-14.91525,175,0.4119492,0.1
119,10609,89.15126,-14.82353,175,0.4103394,0.1
120,10670,88.91666,-14.575,175,0.4096434,0.1
121,10730,88.67769,-14.75207,175,0.4097619,0.1
122,10790,88.44262,-14.59836,175,0.4084424,0.1
123,10849,88.20325,-14.47154,175,0.4080343,0.1
124,10907,87.95968,-14.5,175,0.4077731,0.1
125,10963,87.704,-14.512,175,0.4084071,0.1
126,11018,87.44444,-14.6746,175,0.4067664,0.1
127,11078,87.22835,-14.71654,175,0.4073818,0.1
128,11135,86.99219,-14.70313,175,0.4068086,0.1
129,11193,86.76744,-14.54264,175,0.4059506,0.1
130,11248,86.52308,-14.51538,175,0.4068852,0.1
131,11306,86.30534,-14.78626,175,0.4078359,0.1
132,11365,86.09849,-14.9697,175,0.4092266,0.1
133,11422,85.8797,-15.01504,175,0.408091,0.1
134,11482,85.68657,-14.87313,175,0.4075142,0.1
135,11534,85.43703,-14.79259,175,0.4075017,0.1
136,11591,85.22794,-14.83823,175,0.4070967,0.1
137,11649,85.0292,-14.68613,175,0.4055059,0.1
138,11704,84.81159,-14.77536,175,0.404862,0.1
139,11761,84.61151,-14.76259,175,0.4049379,0.1
140,11818,84.41428,-14.86429,175,0.4052956,0.1
141,11866,84.15603,-14.75887,175,0.4036595,0.1
142,11916,83.91549,-14.61268,175,0.402648,0.1
143,11967,83.68532,-14.5035,175,0.4023455,0.1
144,12021,83.47916,-14.33333,175,0.4027034,0.1
145,12080,83.31035,-14.22759,175,0.4022555,0.1
146,12138,83.13699,-14.08904,175,0.4031637,0.1
147,12192,82.93877,-13.87075,175,0.4022929,0.1
148,12237,82.68243,-13.56757,175,0.4004104,0.1
149,12287,82.46309,-13.32886,175,0.4000476,0.1
150,12341,82.27333,-13.17333,175,0.3999803,0.1
151,12391,82.0596,-12.88742,175,0.4003788,0.1
152,12443,81.86184,-12.67105,175,0.4003985,0.1
153,12496,81.6732,-12.96078,175,0.4014501,0.1
154,12546,81.46753,-12.83766,175,0.401604,0.1
155,12597,81.27097,-12.69677,175,0.4021266,0.1
156,12647,81.07051,-12.9359,175,0.4031255,0.1
157,12697,80.87261,-13.07006,175,0.402223,0.1
158,12747,80.67722,-12.5443,175,0.4030725,0.1
159,12789,80.43396,-12.47799,175,0.4023252,0.1
160,12831,80.19375,-12.2125,175,0.4029905,0.1
161,12876,79.97516,-11.9441,175,0.4012297,0.1
162,12925,79.78395,-11.85185,175,0.4010611,0.1
163,12974,79.59509,-11.90798,175,0.4011143,0.1
164,13023,79.40854,-12.15854,175,0.4023243,0.1
165,13072,79.22424,-11.9697,175,0.4025309,0.1
166,13121,79.04217,-11.87952,175,0.4032496,0.1
167,13169,78.85629,-11.9521,175,0.4039561,0.1
