TotalEpisodes,TotalSteps,AverageStepsPerEpisode,AverageRewardPerEpisode,HighestReward, ConvergenceQValue
1,135,135,-35,-35,2.364139
2,217,108.5,-14.5,6,2.180359
3,297,99,-17.66667,6,2.115896
4,378,94.5,-26.5,6,2.242886
5,460,92,-10.4,54,2.032883
6,541,90.16666,1.166667,59,1.883594
7,623,89,1.857143,59,1.855909
8,705,88.125,6.375,59,1.836597
9,787,87.44444,2.777778,59,1.85052
10,869,86.9,7.9,59,1.789284
11,950,86.36364,3.818182,59,1.776106
12,1032,86,4.666667,59,1.773633
13,1114,85.69231,3.538461,59,1.73682
14,1197,85.5,5.071429,59,1.716269
15,1279,85.26667,2.466667,59,1.731474
16,1360,85,4.5,59,1.71945
17,1443,84.88235,3.352941,59,1.728042
18,1525,84.72222,1.722222,59,1.740804
19,1600,84.21053,-0.4210526,59,1.755568
20,1683,84.15,-1.15,59,1.777202
21,1765,84.04762,-5.380952,59,1.809212
22,1847,83.95454,-4.863636,59,1.809671
23,1929,83.86957,-6.130435,59,1.819131
24,2010,83.75,-2.75,75,1.823738
25,2092,83.68,-0.48,75,1.803815
26,2174,83.61539,3.153846,94,1.815551
27,2256,83.55556,3.259259,94,1.81092
28,2338,83.5,4.5,94,1.807155
29,2420,83.44827,4.155172,94,1.816342
30,2502,83.4,3.683333,94,1.813711
31,2583,83.32258,4.951613,94,1.806425
32,2664,83.25,6.140625,94,1.789327
33,2746,83.21212,7.348485,94,1.758549
34,2828,83.17647,8.617647,94,1.749541
35,2910,83.14286,9.228572,94,1.751984
36,2992,83.11111,10.02778,94,1.743795
37,3073,83.05405,11.13513,94,1.736555
38,3155,83.02631,13.10526,94,1.730145
39,3236,82.97436,14.28205,94,1.72801
40,3311,82.775,13.55,94,1.736421
41,3381,82.46342,12.87805,94,1.732039
42,3463,82.45238,11.57143,94,1.746847
43,3542,82.37209,10.67442,94,1.750744
44,3624,82.36364,10.75,94,1.754728
45,3705,82.33334,10.04444,94,1.743906
46,3787,82.32609,8.913043,94,1.748676
47,3868,82.29787,7.765957,94,1.760682
48,3950,82.29166,6.5625,94,1.763232
49,4030,82.2449,5.938776,94,1.759733
50,4110,82.2,4.38,94,1.766051
51,4190,82.15686,3.509804,94,1.757694
52,4270,82.11539,3.134615,94,1.755846
53,4349,82.0566,2.867924,94,1.753211
54,4427,81.98148,1.962963,94,1.751544
55,4505,81.90909,2.4,94,1.746712
56,4581,81.80357,1.857143,94,1.752168
57,4656,81.68421,1.140351,94,1.756848
58,4730,81.55173,0.6724138,94,1.756637
59,4802,81.38983,0.2542373,94,1.75474
60,4856,80.93333,-0.1166667,94,1.744875
61,4920,80.65574,-0.1147541,94,1.739111
62,4980,80.32258,-0.9516129,94,1.738698
63,5050,80.15873,-1.539683,94,1.736988
64,5116,79.9375,-1.421875,94,1.733948
65,5186,79.78461,-1.861538,94,1.735415
66,5255,79.62122,-2.575758,94,1.741495
67,5323,79.44776,-2.835821,94,1.737143
68,5393,79.30882,-3.941176,94,1.73561
69,5461,79.14493,-3.942029,94,1.734286
70,5528,78.97143,-3.871428,94,1.73261
71,5594,78.78873,-4.070423,94,1.730735
72,5660,78.61111,-4.152778,94,1.731339
73,5727,78.45206,-4.30137,94,1.729559
74,5794,78.29729,-3.797297,94,1.72755
75,5860,78.13333,-4.093333,94,1.726217
76,5927,77.98684,-4.868421,94,1.736791
77,5993,77.83117,-5.558442,94,1.738729
78,6059,77.67949,-5.410256,94,1.730957
79,6123,77.50633,-5.544304,94,1.721209
80,6188,77.35,-5.9375,94,1.723238
81,6252,77.18519,-5.962963,94,1.715866
82,6313,76.98781,-6,94,1.710702
83,6372,76.77109,-6.012048,94,1.707581
84,6437,76.63095,-5.809524,94,1.701729
85,6500,76.47059,-6.247059,94,1.703498
86,6563,76.31396,-6.674418,94,1.708778
87,6626,76.16092,-6.724138,94,1.702723
88,6683,75.94318,-6.613636,94,1.697886
89,6736,75.68539,-7,94,1.698475
90,6791,75.45556,-6.777778,94,1.698967
91,6847,75.24176,-6.791209,94,1.698923
92,6904,75.04348,-6.945652,94,1.703764
93,6961,74.84946,-7.010753,94,1.700911
94,7018,74.65958,-7.159575,94,1.700436
95,7074,74.46316,-6.91579,94,1.689415
96,7130,74.27084,-6.59375,94,1.690085
97,7186,74.08247,-6.443299,94,1.683061
98,7240,73.87755,-6.846939,94,1.687573
99,7296,73.69697,-6.777778,94,1.688683
100,7350,73.5,-7.01,94,1.688302
101,7404,73.30693,-7,94,1.685863
102,7458,73.11765,-6.990196,94,1.684897
103,7510,72.91262,-7.194175,94,1.685058
104,7561,72.70192,-7.115385,94,1.684471
105,7614,72.51428,-7.438095,94,1.681316
106,7668,72.33962,-7.575472,94,1.679594
107,7720,72.14954,-7.46729,94,1.675366
108,7772,71.96296,-7.509259,94,1.676091
109,7824,71.77982,-7.40367,94,1.672332
110,7876,71.6,-7.227273,94,1.670215
111,7930,71.44144,-7.144144,94,1.665176
112,7980,71.25,-7.169643,94,1.665238
113,8033,71.08849,-6.831859,94,1.668973
114,8086,70.92982,-6.710526,94,1.66867
115,8139,70.77391,-6.730435,94,1.666885
116,8189,70.59483,-6.758621,94,1.665011
117,8239,70.4188,-6.649573,94,1.660511
118,8290,70.25423,-6.652543,94,1.661306
119,8341,70.09244,-6.655462,94,1.657427
120,8392,69.93333,-6.791667,94,1.656596
