TotalEpisodes,TotalSteps,AverageStepsPerEpisode,AverageRewardPerEpisode,HighestReward, ConvergenceQValue
1,131,131,-31,-31,0.6728806
2,212,106,2,35,0.5120492
3,294,98,24.66667,70,0.4852013
4,376,94,26,70,0.462008
5,458,91.6,12.4,70,0.4628781
6,540,90,6,70,0.4524125
7,621,88.71429,-9.285714,70,0.4745065
8,703,87.875,-16.375,70,0.4828534
9,785,87.22222,-11.22222,70,0.4473853
10,867,86.7,-2.3,78,0.4335262
11,949,86.27273,-4.454545,78,0.4330458
12,1030,85.83334,-5.833333,78,0.4380497
13,1112,85.53846,-4.307693,78,0.4453024
14,1194,85.28571,-3.571429,78,0.4359181
15,1276,85.06667,-3.466667,78,0.4447635
16,1358,84.875,-1.375,78,0.4415033
17,1439,84.64706,2.647059,78,0.4357525
18,1520,84.44444,0,78,0.4338176
19,1602,84.31579,2.842105,78,0.4332992
20,1684,84.2,3.8,78,0.429259
21,1763,83.95238,3.476191,78,0.4227483
22,1844,83.81818,2.727273,78,0.4207646
23,1924,83.65218,1.217391,78,0.4155823
24,2007,83.625,1.541667,78,0.4147622
25,2087,83.48,4.68,80,0.4046087
26,2168,83.38461,3.692308,80,0.399947
27,2249,83.2963,6.333333,80,0.3992796
28,2330,83.21429,6.214286,80,0.4086237
29,2412,83.17242,6.206897,80,0.4045892
30,2494,83.13333,5.4,80,0.4013419
31,2575,83.06451,4.806452,80,0.4004578
32,2655,82.96875,3.15625,80,0.4015197
33,2732,82.78788,2.545455,80,0.4007062
34,2811,82.67647,2.852941,80,0.4023299
35,2891,82.6,2.771429,80,0.3968004
36,2970,82.5,3.277778,80,0.3954519
37,3048,82.37838,2.594594,80,0.3946781
38,3125,82.23684,1.026316,80,0.3932235
39,3201,82.07692,-0.3333333,80,0.3964952
40,3277,81.925,-0.625,80,0.3944589
41,3355,81.82927,-1.731707,80,0.393985
42,3430,81.66666,-2.809524,80,0.3925934
43,3500,81.39535,-3.44186,80,0.3925196
44,3566,81.04546,-3.772727,80,0.3915553
45,3640,80.88889,-4.8,80,0.390892
46,3710,80.65218,-4.826087,80,0.3916554
47,3783,80.48936,-5.510638,80,0.3931643
48,3854,80.29166,-5.625,80,0.394051
49,3924,80.08163,-6.122449,80,0.3920444
50,3993,79.86,-6.18,80,0.3914251
51,4063,79.66666,-6.647059,80,0.391501
52,4131,79.44231,-6.596154,80,0.3906077
53,4199,79.22642,-7.301887,80,0.3903827
54,4267,79.01852,-7.388889,80,0.3880087
55,4333,78.78181,-7.290909,80,0.3862197
56,4399,78.55357,-7.339286,80,0.3891482
57,4464,78.31579,-8.280702,80,0.3901288
58,4529,78.0862,-8.637931,80,0.3915391
59,4593,77.84746,-8.898305,80,0.388812
